PLAYER NAME,POS,TEAM,RK
Christian McCaffrey,RB1,SF,1
CeeDee Lamb,WR1,DAL,2
Tyreek Hill,WR2,MIA,3
Ja'Marr Chase,WR3,CIN,4
Amon-Ra St. Brown,WR4,DET,5
Bijan Robinson,RB2,ATL,5
Breece Hall,RB3,NYJ,7
Justin Jefferson,WR5,MIN,8
A.J. Brown,WR6,PHI,9
Garrett Wilson,WR7,NYJ,10
Jonathan Taylor,RB4,IND,10
Davante Adams,WR8,LV,13
Jahmyr Gibbs,RB5,DET,13
Saquon Barkley,RB6,PHI,14
Kyren Williams,RB7,LAR,16
Marvin Harrison Jr.,WR9,ARI,14
Puka Nacua,WR10,LAR,15
Chris Olave,WR11,NO,20
Derrick Henry,RB8,BAL,19
Travis Etienne Jr.,RB9,JAC,21
Drake London,WR12,ATL,21
De'Von Achane,RB10,MIA,22
Mike Evans,WR13,TB,24
Sam LaPorta,TE1,DET,26
Nico Collins,WR14,HOU,27
Travis Kelce,TE2,KC,29
Josh Allen,QB1,BUF,21
Deebo Samuel Sr.,WR15,SF,28
Jalen Hurts,QB2,PHI,31
Jaylen Waddle,WR16,MIA,29
Cooper Kupp,WR17,LAR,30
Isiah Pacheco,RB11,KC,23
Brandon Aiyuk,WR18,SF,31
DJ Moore,WR19,CHI,35
Patrick Mahomes II,QB3,KC,33
Lamar Jackson,QB4,BAL,36
DK Metcalf,WR20,SEA,36
Rachaad White,RB12,TB,33
Malik Nabers,WR21,NYG,37
Josh Jacobs,RB13,GB,36
DeVonta Smith,WR22,PHI,38
Kenneth Walker III,RB14,SEA,40
Michael Pittman Jr.,WR23,IND,39
James Cook,RB15,BUF,43
Amari Cooper,WR24,CLE,43
Joe Mixon,RB16,HOU,44
Tee Higgins,WR25,CIN,48
Alvin Kamara,RB17,NO,50
Trey McBride,TE3,ARI,47
Stefon Diggs,WR26,HOU,51
Christian Kirk,WR27,JAC,53
C.J. Stroud,QB5,HOU,50
Zay Flowers,WR28,BAL,57
Mark Andrews,TE4,BAL,49
George Pickens,WR29,PIT,58
Terry McLaurin,WR30,WAS,59
Tank Dell,WR31,HOU,60
David Montgomery,RB18,DET,56
Anthony Richardson,QB6,IND,54
Rhamondre Stevenson,RB19,NE,58
James Conner,RB20,ARI,60
Rashee Rice,WR32,KC,64
Kyler Murray,QB7,ARI,56
Aaron Jones,RB21,MIN,62
Dalton Kincaid,TE5,BUF,58
Calvin Ridley,WR33,TEN,65
Najee Harris,RB22,PIT,70
Joe Burrow,QB8,CIN,62
Dak Prescott,QB9,DAL,64
Kyle Pitts,TE6,ATL,69
George Kittle,TE7,SF,76
Diontae Johnson,WR34,CAR,70
Jordan Love,QB10,GB,68
Keenan Allen,WR35,CHI,73
D'Andre Swift,RB23,CHI,71
Javonte Williams,RB24,DEN,74
Chris Godwin,WR36,TB,77
Raheem Mostert,RB25,MIA,76
Zamir White,RB26,LV,78
