"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","0"
"4",1,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","0"
"5",2,"Cooper Kupp",LAR,"WR3","10","3 out of 5 stars","0"
"6",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","0"
"7",2,"Tyreek Hill",MIA,"WR4","10","3 out of 5 stars","0"
"8",2,"Bijan Robinson",ATL,"RB3","11","4 out of 5 stars","0"
"9",2,"Nick Chubb",CLE,"RB4","5","3 out of 5 stars","+2"
"10",3,"Saquon Barkley",NYG,"RB5","13","2 out of 5 stars","-1"
"11",3,"Stefon Diggs",BUF,"WR5","13","2 out of 5 stars","-1"
"12",3,"Tony Pollard",DAL,"RB6","7","3 out of 5 stars","+6"
"13",3,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","0"
"14",3,"Jonathan Taylor",IND,"RB7","11","3 out of 5 stars","-2"
"15",3,"Davante Adams",LV,"WR7","13","2 out of 5 stars","+1"
"16",3,"A.J. Brown",PHI,"WR8","10","3 out of 5 stars","-2"
"17",3,"Amon-Ra St. Brown",DET,"WR9","9","3 out of 5 stars","+2"
"18",3,"Derrick Henry",TEN,"RB8","7","4 out of 5 stars","-1"
"19",3,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","+1"
"20",4,"Josh Jacobs",LV,"RB9","13","3 out of 5 stars","+1"
"21",4,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","+3"
"22",4,"Rhamondre Stevenson",NE,"RB10","11","2 out of 5 stars","+3"
"23",4,"Chris Olave",NO,"WR12","11","4 out of 5 stars","+8"
"24",4,"Najee Harris",PIT,"RB11","6","3 out of 5 stars","+2"
"25",4,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","+3"
"26",4,"DeVonta Smith",PHI,"WR13","10","3 out of 5 stars","+4"
"27",5,"Tee Higgins",CIN,"WR14","7","4 out of 5 stars","+5"
"28",5,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-13"
"29",5,"Josh Allen",BUF,"QB2","13","3 out of 5 stars","-7"
"30",5,"Breece Hall",NYJ,"RB12","7","3 out of 5 stars","-3"
"31",5,"Jalen Hurts",PHI,"QB3","10","3 out of 5 stars","-8"
"32",5,"Joe Mixon",CIN,"RB13","7","3 out of 5 stars","+8"
"33",5,"Travis Etienne Jr.",JAC,"RB14","9","2 out of 5 stars","-4"
"34",5,"DK Metcalf",SEA,"WR15","5","3 out of 5 stars","+1"
"35",5,"Jahmyr Gibbs",DET,"RB15","9","5 out of 5 stars","+2"
"36",5,"Aaron Jones",GB,"RB16","6","4 out of 5 stars","+2"
"37",5,"Keenan Allen",LAC,"WR16","5","3 out of 5 stars","+8"
"38",5,"Amari Cooper",CLE,"WR17","5","3 out of 5 stars","+3"
"39",5,"Calvin Ridley",JAC,"WR18","9","4 out of 5 stars","+4"
"40",5,"Kenneth Walker III",SEA,"RB17","5","2 out of 5 stars","-6"
"41",5,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-5"
"42",6,"Deebo Samuel",SF,"WR19","9","3 out of 5 stars","-3"
"43",6,"J.K. Dobbins",BAL,"RB18","13","3 out of 5 stars","+7"
"44",6,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","-2"
"45",6,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-12"
"46",6,"Jerry Jeudy",DEN,"WR20","9","2 out of 5 stars","+11"
"47",6,"Cam Akers",LAR,"RB19","10","3 out of 5 stars","+8"
"48",6,"DJ Moore",CHI,"WR21","13","3 out of 5 stars","+6"
"49",6,"DeAndre Hopkins",TEN,"WR22","7","3 out of 5 stars","+2"
"50",6,"Alexander Mattison",MIN,"RB20","13","5 out of 5 stars","+6"
"51",6,"Drake London",ATL,"WR23","11","4 out of 5 stars","+10"
"52",6,"Terry McLaurin",WAS,"WR24","14","3 out of 5 stars","0"
"53",6,"Miles Sanders",CAR,"RB21","7","4 out of 5 stars","-6"
"54",6,"Christian Watson",GB,"WR25","6","3 out of 5 stars","+10"
"55",6,"Justin Herbert",LAC,"QB6","5","3 out of 5 stars","-9"
